codprov,desprov,codenc,codanio,wciiu4d,deswciiu4d,wciiu2d,deswciiu2d,wciiu3d,deswciiu3d,wgruenc,deswgruenc,wregion,deswregion,letra,desletra,wgruserv,deswgruserv,categorización,descategorización,wperocup,deswperocup,wtraprod,deswtraprod,remunera,deprecia,totalpeoc,pstotalpeoc,tftotalpeoc,tegtotalpeoc,ototalpeoc,etotalpeoc,totalmuj,pstotalmuj,tftotalmuj,tegtotalmuj,ototalmuj,etotalmuj,psmsindisp,psmsindise,psmcondisp,psmcondise,tfmsindisp,tfmsindise,tfmcondisp,tfmcondise,tegmsindisp,tegmsindise,tegmcondisp,tegmcondise,omsindisp,omsindise,omcondisp,omcondise,emsindisp,emsindise,emcondisp,emcondise,totalhom,pstotalhom,tftotalhom,tegtotalhom,ototalhom,etotalhom,pshsindisp,pshsindise,pshcondisp,pshcondise,tfhsindisp,tfhsindise,tfhcondisp,tfhcondise,teghsindisp,teghsindise,teghcondisp,teghcondise,ohsindisp,ohsindise,ohcondisp,ohcondise,ehsindisp,ehsindise,ehcondisp,ehcondise,totalhorastrab,totalhorasext,totalsuelmh,suesaegm,suesaegh,suesaobm,suesaobh,suesaemu,suesaeho,perremun,totremun,suesalar,otraremu,sobresue,parutili,subfamil,indemniza,apopiess,fonreser,proartve,venartst,venartstp,venartste,ingxserv,oingxser,aumexpep,totinsum,matprima,repacces,envembal,gasopera,totingse,trafabri,trarepma,sertrans,ingxalqu,ingxcomi,veneneel,asesoria,otringut,margcome,trarepmx,flegastr,comeneel,comylubr,compaga3,gasxalqu,publicid,gasviamo,prisegur,sinipaga,prirease,liqresc,honprofe,comunica,agua,trafabh3,matofici,otrgasop,interese,impuesto,totvalcl,valgasol,valdiese,valfuelo,valgasli,valgasna,valaceit,valgrasa,valotrcl,cangasol,candiese,canfuelo,cangasli,cangasna,canaceit,cangrasa,vtee,veepyc,veecomp,vtagua,vaguapub,vaguanatu,ceepyc,ceecomp,caguapub,caguanatu,adqmyenv,adqeiycnv,adqmenv,adqeofnv,adqcomnv,adqvnv,adqnabnv,adqoafnv,totaladinu,adimyenu,adieycnu,adimenu,adieofnu,adicomnu,adivnu,adinabnu,adioafnu,comactnu,comactusad,venactfi,comnette,revajust,sal31dic,totexi1e,totexi31,ntprofplant,ntprofcben,ntprofccivil,vtotrempplant,vtotrempcben,vtotrempccivil,vtothcpplant,vtothcpcben,vtothcpccivil,tothimpplant,tothimpcben,tothimpccivil,ntestumatr,vtanuamtps,tbecasconc,ntitulotorg,ntunidafil,ntviajefec,dtrecokm,ntpastransp,tcargtranston,tpromsertrpas,tpromsertrcarg,honasitec,honservjuleg,honconaudt,honinfor,honcomv_mayor,honcomv_menor,hon_otros,alq_locedif,alq_mueens,alq_maques,alq_equipcomp,alq_tvregequiacc,alq_transpor,alq_otros,imp_ivacob,imp_ivapag,imp_conesp,imp_pred,imp_otrimp,ctaprop,eeyatotal,totadinu,eximpa1e_t,eximpa31_t,exicyl1e_t,exicyl31_t,exiobi1e_t,exiobi31_t,exipta1e_t,exipta31_t,exipep1e_t,exipep31_t,eximst1e_t,eximst31_t,totadquisi,k,fbkf_1,varexisbt,varexism,varexisci,totexi,fbk,cosvenst,prodtota,consint,totdispos,valag,totgadop
17,PICHINCHA,3,2012,7310,PUBLICIDAD,73,PUBLICIDAD Y ESTUDIOS DE MERCADO,M731,PUBLICIDAD,2,SERVICIOS,1,REGIÓN SIERRA,M,ACTIVIDADES PROFESIONALES. CIENTÍFICAS Y TÉCNICAS,4,SERVICIOS PRESTADOS A LAS EMPRESAS. A LA COMUNIDAD.SOCIALES Y PERSONALES,3,MEDIANA EMPRESA B,4,DE 100 A 199,7,DE 2000000 Y 3999999,1489833,29271,148,0,0,2,0,146,63,0,0,1,0,62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,2,0,85,0,0,1,0,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,83,0,1,0,23680,3120,77495,4000,2000,0,0,32599,38896,148,1489833,934919,209066,145989,17738,0,0,104243,77878,0,0,0,0,2640939,0,0,35727,25736,0,9991,586901,2640939,0,0,0,0,0,0,0,0,0,32787,66082,9991,5250,0,77128,4844,74101,8652,0,0,0,111035,125412,11569,0,60050,336863,4445,302068,5250,5250,0,0,0,0,0,0,0,4167,0,0,0,0,0,0,9991,0,9991,11569,11569,0,0,37003,5356,0,0,0,3160,0,9039,0,0,0,4364,0,-6520,3160,-1315,9039,0,0,0,12199,0,7835,0,0,147381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55517,33310,22208,0,0,0,77128,0,0,0,0,0,0,316913,72226,0,0,48032,0,21560,4364,0,0,0,0,0,0,0,0,0,0,0,0,12199,1,4364,0,0,0,0,4364,0,2640939,959491,-7835,1681448,923764
17,PICHINCHA,3,2012,5610,ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MÓVIL DE COMIDAS,56,SERVICIO DE ALIMENTO Y BEBIDA,I561,ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MÓVIL DE COMIDAS,1,HOTELES Y RESTAURANTES,1,REGIÓN SIERRA,I,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,0,HOTELES Y RESTAURANTES,3,MEDIANA EMPRESA B,2,DE 20 A 49,6,DE 800000 A 1999999,272604,3162,32,0,0,1,0,31,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,30,0,0,1,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,0,0,5120,782,13654,0,293,0,0,601,12760,32,272604,160995,48273,22286,11332,0,0,17951,11767,0,0,0,0,1087238,0,0,480883,476087,0,4796,207498,1087238,0,0,0,0,0,0,0,0,0,25148,474,5007,9827,0,122024,18621,0,679,0,0,0,18925,1911,1549,0,3333,54822,0,87902,9827,2575,0,0,7252,0,0,0,0,1710,0,0,11157,0,0,0,5007,0,5007,1549,1549,0,0,55633,2498,0,0,0,0,0,0,0,0,0,-990,-240,0,0,0,-750,0,0,0,0,0,990,0,0,29009,922.6,854.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828,1300,0,0,0,15797,122024,0,0,0,0,0,0,130469,48179,0,0,4003,0,6556,-990,922.6,854.2,0,0,0,0,0,0,0,0,0,0,0,1,-990,0,0,-68.4,-68.4,-1058.4,0,1087238,743271.4,-990,343966.6,262320
1,AZUAY,3,2012,4520,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES,45,COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,G452,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES,2,SERVICIOS,1,REGIÓN SIERRA,G,COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,5,*OTROS SERVICIOS PRESTADOS A LA MINERÍA. A LA MANUFACTURA Y AL COMERCIO,3,MEDIANA EMPRESA B,2,DE 20 A 49,7,DE 2000000 Y 3999999,556646,64755,41,0,0,0,0,41,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,38,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,6888,0,33109,0,0,0,0,2437,30672,41,556646,399805,21683,50373,11857,0,4051,43490,25387,0,0,0,0,2678588,0,0,1589997,1589997,0,0,222207,2678588,0,0,0,0,0,0,0,0,0,10495,0,16775,2235,0,144000,0,17342,10880,0,0,0,3480,6860,10065,0,75,135781,0,87456,2235,1118,1117,0,0,0,0,0,0,787,1241,0,0,0,0,0,16775,0,16775,10065,10065,0,0,136161,14409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537552,13593.8,14619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3480,0,0,0,0,0,144000,0,0,0,0,0,0,321428,239962,0,0,4560,0,26840,0,13593.8,14619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1025.2,1025.2,1025.2,0,2678588,1946959.8,0,731628.2,357988
17,PICHINCHA,3,2012,9329,"OTRAS ACTIVIDADES DE ESPARCIMIENTO Y RECREATIVAS N,C,P",93,ACTIVIDADES DEPORTIVAS. DE ESPARCIMIENTO Y RECREATIVAS,R932,OTRAS ACTIVIDADES DE ESPARCIMIENTO Y RECREATIVAS,2,SERVICIOS,1,REGIÓN SIERRA,R,ARTES. ENTRETENIMIENTO Y RECREACIÓN,4,SERVICIOS PRESTADOS A LAS EMPRESAS. A LA COMUNIDAD.SOCIALES Y PERSONALES,1,PEQUEÑA EMPRESA,2,DE 20 A 49,6,DE 800000 A 1999999,204542,2114,24,0,0,3,0,21,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,19,0,0,3,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,0,0,3840,0,8740,0,2360,0,0,1518,4862,24,204542,88766,87228,7057,6420,0,0,10237,4834,0,0,0,0,951137,0,0,134919,134919,0,0,363595,951137,0,0,0,0,0,0,0,0,0,131627,7336,3000,0,0,82402,59391,0,346,0,0,0,54958,805,500,0,23230,200250,0,70530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,3000,500,500,0,0,19000,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30958,24000,0,0,0,0,82402,0,0,0,0,0,0,114127,52932,0,0,8448,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,951137,698764,0,252373,563845
17,PICHINCHA,3,2012,1313,SERVICIO DE ACABADO DE PRODUCTOS TEXTILES,13,FABRICACIÓN DE PRODUCTOS TEXTILES,C131,HILATURA. TEJEDURA Y ACABADOS DE PRODUCTOS TEXTILES,2,SERVICIOS,1,REGIÓN SIERRA,C,INDUSTRIAS MANUFACTURERAS,5,*OTROS SERVICIOS PRESTADOS A LA MINERÍA. A LA MANUFACTURA Y AL COMERCIO,1,PEQUEÑA EMPRESA,2,DE 20 A 49,5,DE 400000 A 799999,217816,11522,37,0,0,1,0,36,35,0,0,1,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5920,0,11096,292,0,0,0,10220,584,37,217816,133152,0,27448,31277,0,0,14846,11093,0,0,0,0,755257,15000,0,228618,228618,0,0,117648,770257,0,0,0,15000,0,0,0,0,0,0,0,64888,28439,0,0,1374,2031,4643,0,0,0,0,6248,872,0,9153,13923,0,64482,28439,5688,22751,0,0,0,0,0,0,4309,23949,0,0,0,0,0,64888,0,64888,872,872,0,0,202775,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90631,29637,0,278,1879,0,65760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,770257,360189,0,410068,131571
17,PICHINCHA,3,2012,6520,REASEGUROS,65,SEGUROS. REASEGUROS Y FONDOS DE PENSIONES. EXCEPTO LOS PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,K652,REASEGUROS,2,SERVICIOS,1,REGIÓN SIERRA,K,ACTIVIDADES FINANCIERAS Y DE SEGUROS,4,SERVICIOS PRESTADOS A LAS EMPRESAS. A LA COMUNIDAD.SOCIALES Y PERSONALES,4,GRANDE EMPRESAS,4,DE 100 A 199,9,DE DE 20000000 Y MAS,6416799,410627,197,0,0,1,0,196,118,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,1,0,79,0,0,1,0,78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75,0,3,0,31520,0,247906,0,3500,0,0,113835,130571,197,6416799,3061018,1007537,771541,980416,0,0,341304,254983,0,0,0,0,173408135,0,0,154414,154414,0,0,152978722,173408135,0,0,0,0,0,0,0,0,0,382060,0,24534,0,34327892,233991,2483041,364441,87953676,26699850,0,0,227652,242663,319,0,38603,7684590,100000,-401836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24534,0,24534,319,319,0,0,258255,191,0,0,0,432255,0,625806,203010,0,0,1567702,0,372259,432255,0,625806,137382,0,0,1261071,383102,76471,0,100760,4816472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227652,0,0,0,34327892,0,233991,0,0,0,0,0,0,0,509131,0,12500,64185,0,24853,1567702,0,0,0,0,0,0,0,0,0,0,0,0,1644173,1,1567702,0,0,0,0,1567702,0,173408135,160817726,-76471,12590409,160663312
17,PICHINCHA,3,2012,6920,ACTIVIDADES DE CONTABILIDAD. TENEDURÍA DE LIBROS Y AUDITORIAS. CONSULTORÍA FISCAL,69,ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,M692,ACTIVIDADES DE CONTABILIDAD. TENEDURÍA DE LIBROS Y AUDITORIA. CONSULTORÍA FISCAL,2,SERVICIOS,1,REGIÓN SIERRA,M,ACTIVIDADES PROFESIONALES. CIENTÍFICAS Y TÉCNICAS,4,SERVICIOS PRESTADOS A LAS EMPRESAS. A LA COMUNIDAD.SOCIALES Y PERSONALES,1,PEQUEÑA EMPRESA,3,DE 50 A 99,5,DE 400000 A 799999,359403,28214,57,0,0,8,0,49,32,0,0,5,0,27,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,27,0,0,0,25,0,0,3,0,22,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,21,0,1,0,9120,249,25159,4080,1850,0,0,10828,8401,57,359403,252052,15691,34321,16643,0,0,28104,12592,0,0,0,0,708080,0,0,6761,6761,0,0,207008,708080,0,0,0,0,0,0,0,0,0,7128,0,4800,0,0,6655,0,18833,0,0,0,0,148160,13445,3480,0,4507,8175,0,19779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,0,4800,3480,3480,0,0,20870,1698,0,0,0,0,0,789,33039,0,0,33828,0,0,0,0,789,33039,0,0,33828,0,0,0,0,643052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88896,0,59264,0,0,0,6655,0,0,0,0,0,0,20563,4992,0,255,1433,0,8280,33828,0,0,0,0,0,0,0,0,0,0,0,0,33828,1,33828,0,0,0,0,33828,0,708080,221944,0,486136,215183
17,PICHINCHA,3,2012,9522,REPARACIÓN DE APARATOS DE USO DOMÉSTICO Y EQUIPO DOMÉSTICO Y DE JARDINERÍA,95,REPARACIÓN DE COMPUTADORES Y DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS,S952,REPARACIÓN DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS,2,SERVICIOS,1,REGIÓN SIERRA,S,OTRAS ACTIVIDADES DE SERVICIOS,4,SERVICIOS PRESTADOS A LAS EMPRESAS. A LA COMUNIDAD.SOCIALES Y PERSONALES,3,MEDIANA EMPRESA B,4,DE 100 A 199,7,DE 2000000 Y 3999999,572260,1335,105,0,0,7,0,98,52,0,0,5,0,47,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,43,0,4,0,53,0,0,2,0,51,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,50,0,1,0,18480,0,45753,5400,2340,0,0,17551,20462,105,572260,378322,34718,58556,26967,0,0,42183,31514,0,0,0,0,3120685,283338,0,1958389,1958389,0,0,206223,3404023,0,283338,0,0,0,0,0,0,0,0,139008,2461,2730,0,18411,6423,24139,3289,0,0,0,3700,5216,846,0,0,502676,4128,146470,2730,0,2730,0,0,0,0,0,0,0,2874,0,0,0,0,0,2461,0,2461,846,846,0,0,10700,736,0,0,0,0,0,0,0,0,0,-5489,0,0,-5489,0,0,0,0,0,0,0,5489,0,0,30628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3700,0,0,0,0,0,18411,0,0,0,0,0,0,374482,235009,0,0,3214,0,3307,-5489,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5489,0,0,0,0,-5489,0,3404023,2667288,-5489,736735,708899
17,PICHINCHA,3,2012,6920,ACTIVIDADES DE CONTABILIDAD. TENEDURÍA DE LIBROS Y AUDITORIAS. CONSULTORÍA FISCAL,69,ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,M692,ACTIVIDADES DE CONTABILIDAD. TENEDURÍA DE LIBROS Y AUDITORIA. CONSULTORÍA FISCAL,2,SERVICIOS,1,REGIÓN SIERRA,M,ACTIVIDADES PROFESIONALES. CIENTÍFICAS Y TÉCNICAS,4,SERVICIOS PRESTADOS A LAS EMPRESAS. A LA COMUNIDAD.SOCIALES Y PERSONALES,1,PEQUEÑA EMPRESA,1,DE 10 A 19,6,DE 800000 A 1999999,117957,22510,10,0,0,1,0,9,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1600,0,3420,0,792,0,0,1168,1460,10,117957,41383,40929,25968,2954,0,0,4314,2409,0,0,0,0,838040,0,0,583001,583001,0,0,22408,838040,0,0,0,0,0,0,0,0,0,5518,0,1800,4800,0,0,0,0,0,0,0,0,3889,1440,4961,0,0,71776,2822,55840,4800,4800,0,0,0,0,0,0,0,3636,0,0,0,0,0,0,1800,0,1800,4961,4961,0,0,30000,8268,0,9581,0,0,0,0,44634,0,6582,40996,9581,0,0,0,0,24833,0,6582,60797,0,19801,0,0,149513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3889,0,0,0,0,0,0,0,0,0,0,0,100565,45254,0,115,0,0,6761,40996,0,0,0,0,0,0,0,0,0,0,0,0,60797,1,40996,0,0,0,0,40996,0,838040,677185,-19801,160855,94184
17,PICHINCHA,3,2012,5610,ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MÓVIL DE COMIDAS,56,SERVICIO DE ALIMENTO Y BEBIDA,I561,ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MÓVIL DE COMIDAS,1,HOTELES Y RESTAURANTES,1,REGIÓN SIERRA,I,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,0,HOTELES Y RESTAURANTES,3,MEDIANA EMPRESA B,2,DE 20 A 49,7,DE 2000000 Y 3999999,1016374,28864,37,0,0,2,0,35,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,15,0,0,2,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,6080,0,28855,0,6000,0,0,14366,8489,37,1016374,347116,450762,44304,113303,0,0,39622,21267,0,0,0,0,2267716,9377,0,32447,32447,0,0,370384,2277093,0,0,0,0,0,0,9377,0,0,12748,0,2539,765,0,14628,4730,4686,4778,0,0,0,292466,11413,0,0,21631,173426,0,217667,765,765,0,0,0,0,0,0,0,450,0,0,0,0,0,0,2539,0,2539,0,0,0,0,25390,0,0,0,0,6448,0,2550,0,0,0,8998,0,0,6448,0,2550,0,0,0,8998,0,0,0,0,466951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,1200,0,0,0,289414,14628,0,0,0,0,0,0,270907,66790,0,2560,7519,0,2539,8998,0,0,0,0,0,0,0,0,0,0,0,0,8998,1,8998,0,0,0,0,8998,0,2277093,576257,0,1700836,543810
